BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;34559;-1;<p:>;;;;;;;;;;
34560;6239;0;Q;;On;Q n;;;;;;;
40800;1439;0;n;;On;Q n;;;;;;;
42240;3839;1;n;;November;n @U v E m b 3`;;;;;;;
46080;3359;1;@U;;November;n @U v E m b 3`;;;;;;;
49440;2399;1;v;;November;n @U v E m b 3`;;;;;;;
51840;3839;1;E;;November;n @U v E m b 3`;;;;;;;
55680;5279;1;m;;November;n @U v E m b 3`;;;;;;;
60960;1439;1;b;;November;n @U v E m b 3`;;;;;;;
62400;2879;1;3`;;November;n @U v E m b 3`;;;;;;;
65280;8639;2;T;;thirteen;T 3` t i: n;;;;;;;
73920;3359;2;3`;;thirteen;T 3` t i: n;;;;;;;
77280;9119;2;t;;thirteen;T 3` t i: n;;;;;;;
86400;5759;2;i:;;thirteen;T 3` t i: n;;;;;;;
92160;10079;2;n;;thirteen;T 3` t i: n;;;;;;;
102240;6719;-1;<p:>;;;;;;;;;;
108960;4319;3;h;;he;h i:;;;;;;;
113280;2879;3;i:;;he;h i:;;;;;;;
116160;6239;4;w;;won;w V n;;;;;;;
122400;7679;4;V;;won;w V n;;;;;;;
130080;6239;4;n;;won;w V n;;;;;;;
136320;1919;5;D;;the;D V;;;;;;;
138240;1439;5;V;;the;D V;;;;;;;
139680;5759;6;?;;NL;E n E l;;;;;;;
145440;1439;6;E;;NL;E n E l;;;;;;;
146880;11999;6;n;;NL;E n E l;;;;;;;
158880;2879;6;E;;NL;E n E l;;;;;;;
161760;3839;6;l;;NL;E n E l;;;;;;;
165600;6239;7;s;;Cy;s aI;;;;;;;
171840;8639;7;aI;;Cy;s aI;;;;;;;
180480;3839;8;j;;Young;j V N;;;;;;;
184320;4319;8;V;;Young;j V N;;;;;;;
188640;5519;8;N;;Young;j V N;;;;;;;
194160;2159;9;V;;Award;V w O: R d;;;;;;;
196320;13919;9;w;;Award;V w O: R d;;;;;;;
210240;2879;9;O:;;Award;V w O: R d;;;;;;;
213120;1439;9;R;;Award;V w O: R d;;;;;;;
214560;4799;9;d;;Award;V w O: R d;;;;;;;
219360;10079;10;f;;for;f O: R;;;;;;;
229440;2399;10;O:;;for;f O: R;;;;;;;
231840;1439;10;R;;for;f O: R;;;;;;;
233280;4799;11;D;;the;D V;;;;;;;
238080;2879;11;V;;the;D V;;;;;;;
240960;5279;12;s;;second;s E k V n d;;;;;;;
246240;2879;12;E;;second;s E k V n d;;;;;;;
249120;3359;12;k;;second;s E k V n d;;;;;;;
252480;1439;12;V;;second;s E k V n d;;;;;;;
253920;3359;12;n;;second;s E k V n d;;;;;;;
257280;5279;13;t;;time;t aI m;;;;;;;
262560;9119;13;aI;;time;t aI m;;;;;;;
271680;5519;13;m;;time;t aI m;;;;;;;
277200;1679;14;I;;in;I n;;;;;;;
278880;10079;14;n;;in;I n;;;;;;;
288960;4799;15;T;;three;T R i:;;;;;;;
293760;1919;15;R;;three;T R i:;;;;;;;
295680;5759;15;i:;;three;T R i:;;;;;;;
301440;5759;16;s;;seasons;s i: z V n z;;;;;;;
307200;7199;16;i:;;seasons;s i: z V n z;;;;;;;
314400;3839;16;z;;seasons;s i: z V n z;;;;;;;
318240;3359;16;V;;seasons;s i: z V n z;;;;;;;
321600;6719;16;n;;seasons;s i: z V n z;;;;;;;
328320;7199;16;z;;seasons;s i: z V n z;;;;;;;
335520;35519;-1;<p:>;;;;;;;;;;
